render_path,action
car_0_000.jpg,[-0.9413853   0.00318377  0.03909611]
car_0_001.jpg,[-0.04706354  1.05852999  0.00228097]
car_0_002.jpg,[-0.10583435  1.018224    0.00268161]
car_0_003.jpg,[1.03162283 0.03991755 0.04044262]
car_0_004.jpg,[1.1603152  0.07271418 0.0146029 ]
car_0_005.jpg,[-0.11342677  1.05418562  0.03317009]
car_0_006.jpg,[0.90596805 0.04672357 0.0446814 ]
car_0_007.jpg,[-1.08668674  0.07506043  0.02295672]
car_0_008.jpg,[0.94061238 0.03346132 0.02861136]
car_0_009.jpg,[-1.00726323  0.01881991  0.04106537]
car_0_010.jpg,[-1.00827094  0.03073349  0.02877686]
car_0_011.jpg,[-1.12925418  0.07777047  0.04728442]
car_0_012.jpg,[0.89690114 0.05813774 0.02292945]
car_0_013.jpg,[-0.16681571  1.07560964  0.0279569 ]
car_0_014.jpg,[-0.89907686  0.03642543  0.00128755]
car_0_015.jpg,[-0.87974465  0.0846933   0.04496871]
car_0_016.jpg,[1.01870239 0.08812768 0.01089635]
car_0_017.jpg,[1.11897866 0.06934387 0.01334492]
car_0_018.jpg,[0.80394837 0.02907641 0.0459894 ]
car_0_019.jpg,[1.03640976 0.0037006  0.04251836]
car_0_020.jpg,[-0.00757884  1.07467702  0.01737857]
car_0_021.jpg,[0.14811746 1.03308966 0.03649116]
car_0_022.jpg,[1.15258808 0.00682772 0.01225934]
car_0_023.jpg,[1.08044265 0.08602573 0.01844129]
car_0_024.jpg,[-1.06498138  0.00490817  0.0483661 ]
car_0_025.jpg,[-0.9766159   0.03552158  0.03479756]
car_0_026.jpg,[-0.01630899  1.01928991  0.02267081]
car_0_027.jpg,[0.96102194 0.06179121 0.00264657]
car_0_028.jpg,[1.08036484e+00 3.86951110e-04 2.43150756e-02]
car_0_029.jpg,[-0.90365268  0.02922248  0.01501843]
car_0_030.jpg,[0.14444845 1.01968314 0.02940853]
car_0_031.jpg,[-0.15847789  1.01040547  0.02111965]
car_0_032.jpg,[0.03356826 1.03362642 0.04484014]
car_0_033.jpg,[0.18698789 1.00536589 0.03262817]
car_0_034.jpg,[1.09741731 0.02837603 0.04059   ]
car_0_035.jpg,[0.87782861 0.00696582 0.02020618]
car_0_036.jpg,[-1.18628142  0.06643391  0.0187952 ]
car_0_037.jpg,[-1.18567369  0.04405484  0.04818592]
car_0_038.jpg,[1.07247551 0.01479185 0.01102055]
car_0_039.jpg,[-0.07064156  1.00043792  0.03266414]
car_1_000.jpg,[0.88777514 0.06198282 0.04151582]
car_1_001.jpg,[0.1356265  1.04663472 0.03152163]
car_1_002.jpg,[-1.0531467   0.06833147  0.0396011 ]
car_1_003.jpg,[-0.15898646  1.02454152  0.02863077]
